2349 400 400
225 340 -1 1
228 339 -1 1
227 339 -1 1
226 339 -1 1
225 339 -1 1
224 339 -1 1
223 339 -1 1
222 339 -1 1
229 338 -1 1
228 338 -1 1
227 338 -1 1
226 338 -1 1
225 338 -1 1
224 338 -1 1
223 338 -1 1
222 338 -1 1
221 338 -1 1
229 337 -1 1
228 337 -1 1
227 337 -1 1
226 337 -1 1
225 337 -1 1
224 337 -1 1
223 337 -1 1
222 337 -1 1
221 337 -1 1
229 336 -1 1
228 336 -1 1
227 336 -1 1
226 336 -1 1
225 336 -1 1
224 336 -1 1
223 336 -1 1
222 336 -1 1
221 336 -1 1
230 335 -1 1
229 335 -1 1
228 335 -1 1
227 335 -1 1
226 335 -1 1
225 335 -1 1
224 335 -1 1
223 335 -1 1
222 335 -1 1
221 335 -1 1
220 335 -1 1
229 334 -1 1
228 334 -1 1
227 334 -1 1
226 334 -1 1
225 334 -1 1
224 334 -1 1
223 334 -1 1
222 334 -1 1
221 334 -1 1
138 334 -1 0
229 333 -1 1
228 333 -1 1
227 333 -1 1
226 333 -1 1
225 333 -1 1
224 333 -1 1
223 333 -1 1
222 333 -1 1
221 333 -1 1
141 333 -1 0
140 333 -1 0
139 333 -1 0
138 333 -1 0
137 333 -1 0
136 333 -1 0
135 333 -1 0
229 332 -1 1
228 332 -1 1
227 332 -1 1
226 332 -1 1
225 332 -1 1
224 332 -1 1
223 332 -1 1
222 332 -1 1
221 332 -1 1
142 332 -1 0
141 332 -1 0
140 332 -1 0
139 332 -1 0
138 332 -1 0
137 332 -1 0
136 332 -1 0
135 332 -1 0
134 332 -1 0
351 331 -1 0
350 331 -1 0
228 331 -1 1
227 331 -1 1
226 331 -1 1
225 331 -1 1
224 331 -1 1
223 331 -1 1
222 331 -1 1
142 331 -1 0
141 331 -1 0
140 331 -1 0
139 331 -1 0
138 331 -1 0
137 331 -1 0
136 331 -1 0
135 331 -1 0
134 331 -1 0
354 330 -1 0
353 330 -1 0
352 330 -1 0
351 330 -1 0
350 330 -1 0
349 330 -1 0
348 330 -1 0
347 330 -1 0
225 330 -1 1
142 330 -1 0
141 330 -1 0
140 330 -1 0
139 330 -1 0
138 330 -1 0
137 330 -1 0
136 330 -1 0
135 330 -1 0
134 330 -1 0
355 329 -1 0
354 329 -1 0
353 329 -1 0
352 329 -1 0
351 329 -1 0
350 329 -1 0
349 329 -1 0
348 329 -1 0
347 329 -1 0
346 329 -1 0
143 329 -1 0
142 329 -1 0
141 329 -1 0
140 329 -1 0
139 329 -1 0
138 329 -1 0
137 329 -1 0
136 329 -1 0
135 329 -1 0
134 329 -1 0
133 329 -1 0
356 328 -1 0
355 328 -1 0
354 328 -1 0
353 328 -1 0
352 328 -1 0
351 328 -1 0
350 328 -1 0
349 328 -1 0
348 328 -1 0
347 328 -1 0
346 328 -1 0
143 328 -1 0
142 328 -1 0
141 328 -1 0
140 328 -1 0
139 328 -1 0
138 328 -1 0
137 328 -1 0
136 328 -1 0
135 328 -1 0
134 328 -1 0
133 328 -1 0
356 327 -1 0
355 327 -1 0
354 327 -1 0
353 327 -1 0
352 327 -1 0
351 327 -1 0
350 327 -1 0
349 327 -1 0
348 327 -1 0
347 327 -1 0
346 327 -1 0
143 327 -1 0
142 327 -1 0
141 327 -1 0
140 327 -1 0
139 327 -1 0
138 327 -1 0
137 327 -1 0
136 327 -1 0
135 327 -1 0
134 327 -1 0
133 327 -1 0
356 326 -1 0
355 326 -1 0
354 326 -1 0
353 326 -1 0
352 326 -1 0
351 326 -1 0
350 326 -1 0
349 326 -1 0
348 326 -1 0
347 326 -1 0
346 326 -1 0
345 326 -1 0
143 326 -1 0
142 326 -1 0
141 326 -1 0
140 326 -1 0
139 326 -1 0
138 326 -1 0
137 326 -1 0
136 326 -1 0
135 326 -1 0
134 326 -1 0
133 326 -1 0
357 325 -1 0
356 325 -1 0
355 325 -1 0
354 325 -1 0
353 325 -1 0
352 325 -1 0
351 325 -1 0
350 325 -1 0
349 325 -1 0
348 325 -1 0
347 325 -1 0
346 325 -1 0
143 325 -1 0
142 325 -1 0
141 325 -1 0
140 325 -1 0
139 325 -1 0
138 325 -1 0
137 325 -1 0
136 325 -1 0
135 325 -1 0
134 325 -1 0
133 325 -1 0
358 324 -1 0
357 324 -1 0
356 324 -1 0
355 324 -1 0
354 324 -1 0
353 324 -1 0
352 324 -1 0
351 324 -1 0
350 324 -1 0
349 324 -1 0
348 324 -1 0
347 324 -1 0
346 324 -1 0
143 324 -1 0
142 324 -1 0
141 324 -1 0
140 324 -1 0
139 324 -1 0
138 324 -1 0
137 324 -1 0
136 324 -1 0
135 324 -1 0
134 324 -1 0
133 324 -1 0
359 323 -1 0
358 323 -1 0
357 323 -1 0
356 323 -1 0
355 323 -1 0
354 323 -1 0
353 323 -1 0
352 323 -1 0
351 323 -1 0
350 323 -1 0
349 323 -1 0
348 323 -1 0
347 323 -1 0
346 323 -1 0
144 323 -1 0
143 323 -1 0
142 323 -1 0
141 323 -1 0
140 323 -1 0
139 323 -1 0
138 323 -1 0
137 323 -1 0
136 323 -1 0
135 323 -1 0
134 323 -1 0
133 323 -1 0
360 322 -1 0
359 322 -1 0
358 322 -1 0
357 322 -1 0
356 322 -1 0
355 322 -1 0
354 322 -1 0
353 322 -1 0
352 322 -1 0
351 322 -1 0
350 322 -1 0
349 322 -1 0
348 322 -1 0
347 322 -1 0
144 322 -1 0
143 322 -1 0
142 322 -1 0
141 322 -1 0
140 322 -1 0
139 322 -1 0
138 322 -1 0
137 322 -1 0
136 322 -1 0
135 322 -1 0
134 322 -1 0
360 321 -1 0
359 321 -1 0
358 321 -1 0
357 321 -1 0
356 321 -1 0
355 321 -1 0
354 321 -1 0
353 321 -1 0
352 321 -1 0
351 321 -1 0
350 321 -1 0
349 321 -1 0
348 321 -1 0
144 321 -1 0
143 321 -1 0
142 321 -1 0
141 321 -1 0
140 321 -1 0
139 321 -1 0
138 321 -1 0
137 321 -1 0
136 321 -1 0
135 321 -1 0
134 321 -1 0
361 320 -1 0
360 320 -1 0
359 320 -1 0
358 320 -1 0
357 320 -1 0
356 320 -1 0
355 320 -1 0
354 320 -1 0
353 320 -1 0
352 320 -1 0
351 320 -1 0
350 320 -1 0
349 320 -1 0
348 320 -1 0
144 320 -1 0
143 320 -1 0
142 320 -1 0
141 320 -1 0
140 320 -1 0
139 320 -1 0
138 320 -1 0
137 320 -1 0
136 320 -1 0
135 320 -1 0
134 320 -1 0
361 319 -1 0
360 319 -1 0
359 319 -1 0
358 319 -1 0
357 319 -1 0
356 319 -1 0
355 319 -1 0
354 319 -1 0
353 319 -1 0
352 319 -1 0
351 319 -1 0
350 319 -1 0
349 319 -1 0
348 319 -1 0
145 319 -1 0
144 319 -1 0
143 319 -1 0
142 319 -1 0
141 319 -1 0
140 319 -1 0
139 319 -1 0
138 319 -1 0
137 319 -1 0
136 319 -1 0
135 319 -1 0
134 319 -1 0
361 318 -1 0
360 318 -1 0
359 318 -1 0
358 318 -1 0
357 318 -1 0
356 318 -1 0
355 318 -1 0
354 318 -1 0
353 318 -1 0
352 318 -1 0
351 318 -1 0
350 318 -1 0
349 318 -1 0
145 318 -1 0
144 318 -1 0
143 318 -1 0
142 318 -1 0
141 318 -1 0
140 318 -1 0
139 318 -1 0
138 318 -1 0
137 318 -1 0
136 318 -1 0
135 318 -1 0
362 317 -1 0
361 317 -1 0
360 317 -1 0
359 317 -1 0
358 317 -1 0
357 317 -1 0
356 317 -1 0
355 317 -1 0
354 317 -1 0
353 317 -1 0
352 317 -1 0
351 317 -1 0
350 317 -1 0
145 317 -1 0
144 317 -1 0
143 317 -1 0
142 317 -1 0
141 317 -1 0
140 317 -1 0
139 317 -1 0
138 317 -1 0
137 317 -1 0
136 317 -1 0
135 317 -1 0
362 316 -1 0
361 316 -1 0
360 316 -1 0
359 316 -1 0
358 316 -1 0
357 316 -1 0
356 316 -1 0
355 316 -1 0
354 316 -1 0
353 316 -1 0
352 316 -1 0
351 316 -1 0
145 316 -1 0
144 316 -1 0
143 316 -1 0
142 316 -1 0
141 316 -1 0
140 316 -1 0
139 316 -1 0
138 316 -1 0
137 316 -1 0
136 316 -1 0
135 316 -1 0
363 315 -1 0
362 315 -1 0
361 315 -1 0
360 315 -1 0
359 315 -1 0
358 315 -1 0
357 315 -1 0
356 315 -1 0
355 315 -1 0
354 315 -1 0
353 315 -1 0
352 315 -1 0
145 315 -1 0
144 315 -1 0
143 315 -1 0
142 315 -1 0
141 315 -1 0
140 315 -1 0
139 315 -1 0
138 315 -1 0
137 315 -1 0
136 315 -1 0
135 315 -1 0
363 314 -1 0
362 314 -1 0
361 314 -1 0
360 314 -1 0
359 314 -1 0
358 314 -1 0
357 314 -1 0
356 314 -1 0
355 314 -1 0
354 314 -1 0
353 314 -1 0
352 314 -1 0
146 314 -1 0
145 314 -1 0
144 314 -1 0
143 314 -1 0
142 314 -1 0
141 314 -1 0
140 314 -1 0
139 314 -1 0
138 314 -1 0
