335 400 400
126 372 -1 1
129 371 -1 1
128 371 -1 1
127 371 -1 1
126 371 -1 1
125 371 -1 1
124 371 -1 1
123 371 -1 1
130 370 -1 1
129 370 -1 1
128 370 -1 1
127 370 -1 1
126 370 -1 1
125 370 -1 1
124 370 -1 1
123 370 -1 1
122 370 -1 1
130 369 -1 1
129 369 -1 1
128 369 -1 1
127 369 -1 1
126 369 -1 1
125 369 -1 1
124 369 -1 1
123 369 -1 1
122 369 -1 1
130 368 -1 1
129 368 -1 1
128 368 -1 1
127 368 -1 1
126 368 -1 1
125 368 -1 1
124 368 -1 1
123 368 -1 1
122 368 -1 1
131 367 -1 1
130 367 -1 1
129 367 -1 1
128 367 -1 1
127 367 -1 1
126 367 -1 1
125 367 -1 1
124 367 -1 1
123 367 -1 1
122 367 -1 1
121 367 -1 1
130 366 -1 1
129 366 -1 1
128 366 -1 1
127 366 -1 1
126 366 -1 1
125 366 -1 1
124 366 -1 1
123 366 -1 1
122 366 -1 1
130 365 -1 1
129 365 -1 1
128 365 -1 1
127 365 -1 1
126 365 -1 1
125 365 -1 1
124 365 -1 1
123 365 -1 1
122 365 -1 1
130 364 -1 1
129 364 -1 1
128 364 -1 1
127 364 -1 1
126 364 -1 1
125 364 -1 1
124 364 -1 1
123 364 -1 1
122 364 -1 1
129 363 -1 1
128 363 -1 1
127 363 -1 1
126 363 -1 1
125 363 -1 1
124 363 -1 1
123 363 -1 1
126 362 -1 1
89 360 -1 1
169 359 -1 1
92 359 -1 1
91 359 -1 1
90 359 -1 1
89 359 -1 1
88 359 -1 1
87 359 -1 1
86 359 -1 1
172 358 -1 1
171 358 -1 1
170 358 -1 1
169 358 -1 1
168 358 -1 1
167 358 -1 1
166 358 -1 1
93 358 -1 1
92 358 -1 1
91 358 -1 1
90 358 -1 1
89 358 -1 1
88 358 -1 1
87 358 -1 1
86 358 -1 1
85 358 -1 1
173 357 -1 1
172 357 -1 1
171 357 -1 1
170 357 -1 1
169 357 -1 1
168 357 -1 1
167 357 -1 1
166 357 -1 1
165 357 -1 1
93 357 -1 1
92 357 -1 1
91 357 -1 1
90 357 -1 1
89 357 -1 1
88 357 -1 1
87 357 -1 1
86 357 -1 1
85 357 -1 1
173 356 -1 1
172 356 -1 1
171 356 -1 1
170 356 -1 1
169 356 -1 1
168 356 -1 1
167 356 -1 1
166 356 -1 1
165 356 -1 1
93 356 -1 1
92 356 -1 1
91 356 -1 1
90 356 -1 1
89 356 -1 1
88 356 -1 1
87 356 -1 1
86 356 -1 1
85 356 -1 1
173 355 -1 1
172 355 -1 1
171 355 -1 1
170 355 -1 1
169 355 -1 1
168 355 -1 1
167 355 -1 1
166 355 -1 1
165 355 -1 1
94 355 -1 1
93 355 -1 1
92 355 -1 1
91 355 -1 1
90 355 -1 1
89 355 -1 1
88 355 -1 1
87 355 -1 1
86 355 -1 1
85 355 -1 1
84 355 -1 1
174 354 -1 1
173 354 -1 1
172 354 -1 1
171 354 -1 1
170 354 -1 1
169 354 -1 1
168 354 -1 1
167 354 -1 1
166 354 -1 1
165 354 -1 1
164 354 -1 1
93 354 -1 1
92 354 -1 1
91 354 -1 1
90 354 -1 1
89 354 -1 1
88 354 -1 1
87 354 -1 1
86 354 -1 1
85 354 -1 1
173 353 -1 1
172 353 -1 1
171 353 -1 1
170 353 -1 1
169 353 -1 1
168 353 -1 1
167 353 -1 1
166 353 -1 1
165 353 -1 1
93 353 -1 1
92 353 -1 1
91 353 -1 1
